site_ID,visit_ID,elevation,temp_C,habitat,management_unit,observed_count
1,1,84.22723448602483,10.67238250747323,forest,1,1
1,2,84.22723448602483,15.876250299625099,forest,1,3
1,3,84.22723448602483,18.363785222172737,forest,1,1
1,4,84.22723448602483,18.57660814654082,forest,1,3
2,1,61.37105267262086,17.88741257507354,forest,1,0
2,2,61.37105267262086,14.372712709009647,forest,1,1
2,3,61.37105267262086,27.00607404578477,forest,1,1
2,4,61.37105267262086,16.727583222091198,forest,1,0
3,1,76.1355391703546,18.072471609339118,mixed_forest_developed,1,0
3,2,76.1355391703546,23.816131306812167,mixed_forest_developed,1,0
3,3,76.1355391703546,16.071293433196843,mixed_forest_developed,1,0
3,4,76.1355391703546,14.02643718291074,mixed_forest_developed,1,0
4,1,93.28616947168484,22.82483025919646,forest,1,0
4,2,93.28616947168484,17.523462502285838,forest,1,2
4,3,93.28616947168484,17.32284736353904,forest,1,1
4,4,93.28616947168484,11.34867139160633,forest,1,1
5,1,67.97520517138764,18.753531076945364,forest,1,1
5,2,67.97520517138764,13.907582410611212,forest,1,0
5,3,67.97520517138764,28.7899032747373,forest,1,0
5,4,67.97520517138764,16.449484582990408,forest,1,0
6,1,60.49509826116264,23.700542259030044,mixed_forest_developed,1,0
6,2,60.49509826116264,15.151043813675642,mixed_forest_developed,1,0
6,3,60.49509826116264,23.545328569598496,mixed_forest_developed,1,0
6,4,60.49509826116264,28.398119448684156,mixed_forest_developed,1,0
7,1,78.79788047866896,18.692229469306767,forest,1,0
7,2,78.79788047866896,21.530234329402447,forest,1,1
7,3,78.79788047866896,11.443014284595847,forest,1,2
7,4,78.79788047866896,14.83222740702331,forest,1,0
8,1,93.3396378532052,25.34205025061965,mixed_forest_developed,1,1
8,2,93.3396378532052,22.137516872026026,mixed_forest_developed,1,0
8,3,93.3396378532052,28.276402726769447,mixed_forest_developed,1,1
8,4,93.3396378532052,13.696181895211339,mixed_forest_developed,1,0
9,1,87.71514658583328,19.27002017851919,forest,2,0
9,2,87.71514658583328,27.779376176185906,forest,2,0
9,3,87.71514658583328,22.72678790614009,forest,2,0
9,4,87.71514658583328,13.376425774767995,forest,2,0
10,1,82.67933847382665,13.225122005678713,forest,2,1
10,2,82.67933847382665,10.48543999902904,forest,2,2
10,3,82.67933847382665,13.570908969268203,forest,2,1
10,4,82.67933847382665,11.000333549454808,forest,2,3
11,1,74.18822272447869,16.651101424358785,mixed_forest_developed,2,1
11,2,74.18822272447869,15.73302234057337,mixed_forest_developed,2,1
11,3,74.18822272447869,13.030896643176675,mixed_forest_developed,2,1
11,4,74.18822272447869,27.49728267081082,mixed_forest_developed,2,1
12,1,76.19561319006607,22.23155555780977,forest,2,0
12,2,76.19561319006607,28.867869414389133,forest,2,0
12,3,76.19561319006607,21.963917552493513,forest,2,0
12,4,76.19561319006607,18.827045406214893,forest,2,0
13,1,85.10971501236781,15.942774722352624,forest,2,0
13,2,85.10971501236781,15.009690937586129,forest,2,0
13,3,85.10971501236781,17.8509825700894,forest,2,1
13,4,85.10971501236781,25.440368596464396,forest,2,0
14,1,86.91273406147957,27.312325756065547,forest,2,0
14,2,86.91273406147957,19.697413933463395,forest,2,0
14,3,86.91273406147957,26.630731523036957,forest,2,0
14,4,86.91273406147957,21.489344076253474,forest,2,0
15,1,91.32518207188696,26.25645872205496,mixed_forest_developed,2,1
15,2,91.32518207188696,11.229664329439402,mixed_forest_developed,2,0
15,3,91.32518207188696,26.115737156942487,mixed_forest_developed,2,1
15,4,91.32518207188696,27.955791312269866,mixed_forest_developed,2,1
16,1,94.7988934116438,22.803632370196283,forest,2,3
16,2,94.7988934116438,11.478431187570095,forest,2,3
16,3,94.7988934116438,23.158669052645564,forest,2,3
16,4,94.7988934116438,10.604373142123222,forest,2,5
17,1,61.86020236928016,17.16498794965446,mixed_forest_developed,3,4
17,2,61.86020236928016,11.829429818317294,mixed_forest_developed,3,4
17,3,61.86020236928016,18.92410147935152,mixed_forest_developed,3,2
17,4,61.86020236928016,15.149872722104192,mixed_forest_developed,3,2
18,1,84.25045044859871,25.14841081108898,mixed_forest_developed,3,3
18,2,84.25045044859871,12.287128237076104,mixed_forest_developed,3,3
18,3,84.25045044859871,12.249436965212226,mixed_forest_developed,3,2
18,4,84.25045044859871,12.48293335083872,mixed_forest_developed,3,3
19,1,86.64973132545128,20.818761182017624,forest,3,6
19,2,86.64973132545128,29.60266244597733,forest,3,6
19,3,86.64973132545128,17.492139446549118,forest,3,2
19,4,86.64973132545128,18.801956777460873,forest,3,5
20,1,73.80418257089332,25.48370157368481,mixed_forest_developed,3,3
20,2,73.80418257089332,18.85976028162986,mixed_forest_developed,3,5
20,3,73.80418257089332,18.446254348382354,mixed_forest_developed,3,7
20,4,73.80418257089332,20.149689642712474,mixed_forest_developed,3,5
21,1,54.525144246872514,12.618415839970112,mixed_forest_developed,3,1
21,2,54.525144246872514,24.170350856147707,mixed_forest_developed,3,0
21,3,54.525144246872514,18.4439062140882,mixed_forest_developed,3,1
21,4,54.525144246872514,22.93976523913443,mixed_forest_developed,3,1
22,1,98.4926576144062,23.039925484918058,mixed_forest_developed,3,12
22,2,98.4926576144062,29.342891150154173,mixed_forest_developed,3,13
22,3,98.4926576144062,22.790252901613712,mixed_forest_developed,3,10
22,4,98.4926576144062,16.886883699335158,mixed_forest_developed,3,11
23,1,90.28331349836662,20.711163971573114,mixed_forest_developed,3,8
23,2,90.28331349836662,11.727157183922827,mixed_forest_developed,3,8
23,3,90.28331349836662,14.177232929505408,mixed_forest_developed,3,9
23,4,90.28331349836662,23.47852175589651,mixed_forest_developed,3,8
24,1,78.68771927896887,19.38219993840903,mixed_forest_developed,3,3
24,2,78.68771927896887,18.922999477945268,mixed_forest_developed,3,3
24,3,78.68771927896887,14.747779173776507,mixed_forest_developed,3,3
24,4,78.68771927896887,17.851541875861585,mixed_forest_developed,3,3
25,1,95.34380768891424,18.256615484133363,mixed_forest_developed,4,5
25,2,95.34380768891424,19.35153692960739,mixed_forest_developed,4,5
25,3,95.34380768891424,18.18585294764489,mixed_forest_developed,4,6
25,4,95.34380768891424,25.764549118466675,mixed_forest_developed,4,5
26,1,83.77588293515146,28.163730003871024,mixed_forest_developed,4,4
26,2,83.77588293515146,18.226811792701483,mixed_forest_developed,4,3
26,3,83.77588293515146,14.62677980773151,mixed_forest_developed,4,2
26,4,83.77588293515146,23.985375626944005,mixed_forest_developed,4,2
27,1,83.34889377001673,14.371308940462768,mixed_forest_developed,4,4
27,2,83.34889377001673,18.61305714584887,mixed_forest_developed,4,5
27,3,83.34889377001673,26.773018301464617,mixed_forest_developed,4,4
27,4,83.34889377001673,16.184041667729616,mixed_forest_developed,4,5
28,1,60.341553937178105,12.896316815167665,mixed_forest_developed,4,1
28,2,60.341553937178105,10.784877999685705,mixed_forest_developed,4,1
28,3,60.341553937178105,18.95740630570799,mixed_forest_developed,4,1
28,4,60.341553937178105,26.369291013106704,mixed_forest_developed,4,0
29,1,64.2843407113105,16.542768352665007,mixed_forest_developed,4,1
29,2,64.2843407113105,12.004146273247898,mixed_forest_developed,4,2
29,3,64.2843407113105,29.813301577232778,mixed_forest_developed,4,1
29,4,64.2843407113105,17.731603123247623,mixed_forest_developed,4,2
30,1,93.00589469494298,22.438734089955688,mixed_forest_developed,4,12
30,2,93.00589469494298,18.686610581353307,mixed_forest_developed,4,11
30,3,93.00589469494298,12.710492750629783,mixed_forest_developed,4,10
30,4,93.00589469494298,17.864949838258326,mixed_forest_developed,4,7
31,1,84.25328101729974,17.822875273413956,mixed_forest_developed,4,4
31,2,84.25328101729974,26.536122080869973,mixed_forest_developed,4,3
31,3,84.25328101729974,28.376717194914818,mixed_forest_developed,4,3
31,4,84.25328101729974,13.14602445345372,mixed_forest_developed,4,3
32,1,52.92769009247422,25.681548486463726,forest,4,2
32,2,52.92769009247422,27.783725541085005,forest,4,3
32,3,52.92769009247422,14.766842601820827,forest,4,1
32,4,52.92769009247422,13.399293827824295,forest,4,3
